지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
101,2012-01-01,-4.8,-9.5,2347,.7,1358,1,,,,,.2,7.3,270,1534,4.8,340,1759,1.2,1027,-8.6,44,1348,76,3.2,1014.5,1027.2,2353,1020.8,1422,1024.6,9.6,2.8,1200,1.47,6.26,.3,1620,.3,1620,.3,6.6,5.6,-4.3,-13.3,-2.6,-2.5,-1.5,-.6,1.8,6.5,10.4,15.8,17.8,,.2,.2,
101,2012-01-02,-7.6,-12.5,559,-2.1,1522,,,,,,,3.1,230,1655,1.6,360,757,.7,575,-10.9,54,1735,78.1,2.7,1017.1,1029.9,903,1025.3,1508,1027.3,9.6,3.9,1300,1.32,6.55,,,.3,1,,3.3,1.6,-5.9,-15.9,-4.1,-3.9,-2,-.7,1.7,6.5,10.3,15.9,17.8,,1,,1.83
101,2012-01-03,-6.3,-10.6,603,-1.8,1558,4,,,,,.1,7.9,290,2108,5.1,250,2112,1.3,1130,-9.9,56,2109,77,2.9,1012.1,1025.8,1,1018.5,1440,1022.2,9.6,2,1200,1.41,5.67,.1,1755,.1,1755,.1,7.4,5.1,-5.1,-13.8,-3.9,-3.9,-2.3,-.9,1.6,6.5,10.3,15.6,17.7,,1,.1,
101,2012-01-04,-7.9,-12.1,2354,-3.6,1430,,,,,,,6.5,250,1614,3.9,230,1514,1.5,1269,-13.7,41,1505,64.8,2.1,1015.4,1028.8,2324,1021.2,1,1025.6,9.6,6.6,1200,1.55,8.37,,,,,,3,3,-6.3,-14.7,-4.4,-4.1,-2.3,-.9,1.5,6.2,10.3,15.5,17.5,,1.3,,
101,2012-01-05,-9.1,-15,742,-1.1,1542,,,,,,,5.5,160,1616,2.9,230,1611,.8,672,-15.5,28,1544,64.1,1.9,1019.8,1032.1,941,1027.8,1512,1030.1,9.6,7.7,1200,2.06,10.13,,,,,,0,0,-8.2,-17.9,-6.1,-5.8,-3.3,-1.3,1.4,6,9.8,15.6,17.5,,1.2,,
101,2012-01-06,-6.1,-11.8,802,1.9,1548,,,,,,,4.6,250,1728,2.5,230,1735,.7,564,-13.2,25,1708,61.3,2.2,1021.8,1034.7,2344,1029.5,1418,1031.9,9.7,7.9,1200,1.78,10.49,,,,,,1.3,1.3,-5.8,-14.9,-4.8,-4.7,-3,-1.3,1.1,6,9.6,15.5,17.5,,1.4,,
101,2012-01-07,-6.8,-13,807,2.1,1548,,,,,,,2.6,180,1458,1.2,230,1300,.6,477,-12.9,27,1537,65.6,2.3,1025.8,1038.8,936,1034.1,1532,1036.1,9.7,7.9,1100,2.13,11.63,,,,,,0,0,-6.5,-16.3,-5.1,-4.9,-3,-1.3,1.1,6,9.6,15.4,17.5,,1.2,,
101,2012-01-08,-6.3,-10.7,336,-.9,1603,,,,,,,2.6,20,2153,1.4,360,1636,.5,429,-11.1,45,1435,70.3,2.6,1022.5,1036.2,302,1030,1623,1032.7,9.7,1.2,1100,1.17,5.5,,,,,,6.6,3.4,-5.9,-14.7,-4.6,-4.5,-2.8,-1.3,1,5.7,9.5,15.2,17.5,,.7,,
101,2012-01-09,-3.3,-7.8,130,3.3,1450,,,,,,,6.4,230,1555,3.7,230,1557,.9,786,-8.7,37,1454,69,3.2,1020.1,1032.2,921,1027.6,1458,1030.1,9.7,6.2,1200,1.33,7.41,,,,,,5,5,-3.3,-11.6,-3,-3.1,-2.2,-1.1,1,5.7,9.4,15.2,17.5,,1.3,,
101,2012-01-10,-4.9,-10.6,736,2.2,1542,,,,,,,6.8,270,1730,4,250,1718,1,902,-11.4,26,1550,65.3,2.6,1018,1030.4,926,1025.4,1439,1028.1,9.7,7.2,1300,1.71,8.47,,,,,,1.6,1.3,-3.6,-14.4,-3.7,-3.6,-2.3,-1.1,1,5.5,9.4,15.1,17.5,,1.4,,1.75
101,2012-01-11,-7.7,-12.5,756,-.9,1457,,,,,,,5.8,230,1750,3,230,1717,1.1,933,-15.5,27,1458,58.1,1.9,1020.7,1033.1,2314,1027.7,11,1030.9,9.7,7.9,1200,1.8,10.34,,,,,,0,0,-6.4,-15.8,-4.8,-4.5,-2.7,-1.3,1,5.5,9.5,15,17.5,,1.5,,
101,2012-01-12,-7.6,-15.6,634,-1.3,1440,8.08,,,,,.1,6.8,230,1548,3.7,230,1556,1,823,-12.2,40,1317,71,2.6,1019.2,1033.8,742,1025.9,2352,1029.4,9.8,5.8,1100,1.93,10,.2,1950,.2,1950,.2,4.3,4.3,-6.6,-19,-5.4,-5.3,-3.4,-1.7,.6,5.3,9,15,17.5,,1.1,.1,
101,2012-01-13,-2.4,-7.9,2344,3.7,1515,6.83,,,,,0,7.9,250,1546,4.2,250,1653,1,821,-8.9,24,1547,64.1,3.2,1014.3,1026.1,2351,1022.3,1425,1024.3,9.8,5.3,1200,1.63,8.22,,,.2,0,,4.3,4.3,-1.2,-11.8,-1.9,-2,-1.7,-1.1,.6,5.5,9,15,17.5,,1.3,0,
101,2012-01-14,-4.9,-12.3,704,3,1447,,,,,,,6.9,230,1444,3.8,250,1452,1.1,943,-13.4,18,1445,57.5,2.2,1014.6,1027.6,936,1022.2,1633,1024.6,9.8,8,1200,1.91,11.67,,,,,,1.5,.3,-4.1,-15.8,-3.7,-3.5,-2.2,-1.2,.7,5.5,9,15,17.5,,1.8,,
101,2012-01-15,-5,-9.8,800,1.5,1510,,,,,,,3.8,20,819,1.4,250,1414,.5,468,-10.9,26,1438,66.5,2.7,1012.6,1024.6,948,1021.1,1431,1022.7,9.8,5.4,1200,1.75,8.81,,,,,,4.4,0,-4.1,-14.1,-3.5,-3.4,-2.2,-1.2,.9,5.5,8.8,14.8,17.5,,1,,
101,2012-01-16,-2.4,-10.4,809,7.1,1617,,,,,,,3.8,340,951,1.9,320,956,.8,668,-8.7,32,1507,65.1,3.2,1011.1,1023.6,918,1017.9,1607,1021,9.8,7.7,1200,1.87,11.46,,,,,,2.3,1.8,-1.8,-14.2,-3,-3.2,-2.3,-1.3,.6,5.2,8.5,14.6,17.5,,1.6,0,
