,Time_a,호우경보
38,2004-07-12 23:00:00,1
39,2004-07-13 09:00:00,1
346,2005-07-28 13:00:00,1
348,2005-07-28 16:30:00,1
699,2006-07-12 11:00:00,1
702,2006-07-12 22:10:00,1
707,2006-07-13 08:40:00,1
708,2006-07-13 10:40:00,1
718,2006-07-15 10:00:00,1
723,2006-07-16 04:20:00,1
727,2006-07-16 21:10:00,1
733,2006-07-27 15:10:00,1
1482,2008-07-24 08:55:00,1
1483,2008-07-24 08:55:00,1
1491,2008-07-24 19:00:00,1
1492,2008-07-24 19:00:00,1
2008,2009-07-09 12:20:00,1
2015,2009-07-09 16:30:00,1
2048,2009-07-14 11:00:00,1
2049,2009-07-14 11:00:00,1
2059,2009-07-14 21:00:00,1
2060,2009-07-14 21:00:00,1
2130,2009-08-12 10:10:00,1
2131,2009-08-12 10:10:00,1
2135,2009-08-12 14:30:00,1
2136,2009-08-12 14:30:00,1
2658,2010-08-15 03:20:00,1
2660,2010-08-15 05:30:00,1
2717,2010-09-10 01:50:00,1
2720,2010-09-10 05:00:00,1
3290,2011-06-29 18:00:00,1
3291,2011-06-29 18:00:00,1
3350,2011-07-26 22:20:00,1
3380,2011-07-28 13:40:00,1
3381,2011-07-28 13:40:00,1
4483,2013-07-14 08:20:00,1
4491,2013-07-14 12:40:00,1
4510,2013-07-15 12:20:00,1
4514,2013-07-15 16:00:00,1
5994,2016-07-05 08:00:00,1
5998,2016-07-05 20:30:00,1
6475,2017-07-03 10:00:00,1
6542,2017-08-10 03:00:00,1
7090,2018-08-28 19:50:00,1
7102,2018-08-29 05:30:00,1
7105,2018-08-29 09:10:00,1
7109,2018-08-30 04:00:00,1
7563,2010-08-15 03:20:00,1
7565,2010-08-15 05:30:00,1
7622,2010-09-10 01:50:00,1
7625,2010-09-10 05:00:00,1
8195,2011-06-29 18:00:00,1
8196,2011-06-29 18:00:00,1
8255,2011-07-26 22:20:00,1
8285,2011-07-28 13:40:00,1
8286,2011-07-28 13:40:00,1
9388,2013-07-14 08:20:00,1
9396,2013-07-14 12:40:00,1
9415,2013-07-15 12:20:00,1
9419,2013-07-15 16:00:00,1
10899,2016-07-05 08:00:00,1
10903,2016-07-05 20:30:00,1
11380,2017-07-03 10:00:00,1
11447,2017-08-10 03:00:00,1
11995,2018-08-28 19:50:00,1
12007,2018-08-29 05:30:00,1
12010,2018-08-29 09:10:00,1
12014,2018-08-30 04:00:00,1
12456,2019-07-26 09:20:00,1
